Direction	Scheme	Target	Peer	BaseChain	TopRuleMatch	TopRuleAction	SecondBaseChain	SecondRuleMatch	SecondRuleAction	ThirdBaseChain	ThirdRuleMatch	ThirdRuleAction	FourthBaseChain	FourthRuleMatch	FourthRuleAction
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetLabel	PeerLabel	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeLabelMatchDst	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeLabelMatchSrc	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetLabel	PeerLabel	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeLabelMatchSrc	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeLabelMatchDst	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetLabel	PeerLabel	firewall.ChainNameEndpointIngress	MakeLabelMatchDst	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeLabelMatchSrc	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetLabel	PeerLabel	firewall.ChainNameEndpointEgress	MakeLabelMatchSrc	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeLabelMatchDst	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetTenant	PeerLabel	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeDstTenantMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeLabelMatchSrc	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetTenant	PeerLabel	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeSrcTenantMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeLabelMatchDst	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetTenant	PeerLabel	firewall.ChainNameEndpointIngress	MakeDstTenantMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeLabelMatchSrc	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetTenant	PeerLabel	firewall.ChainNameEndpointEgress	MakeSrcTenantMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeLabelMatchDst	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetLabel	PeerAny	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeLabelMatchDst	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetLabel	PeerAny	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeLabelMatchSrc	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetLabel	PeerAny	firewall.ChainNameEndpointIngress	MakeLabelMatchDst	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
